provincia_id,provincia_nombre,causa_id,caso_id_ministerio_publico,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,caso_fecha_inicio,causa_fecha_hecho,delito_codigo,delito_descripcion,delito_tentativa,delito_estadistico,fecha_envio
26,Chubut,267/8806,3/69872,3,Puerto Madryn,267,PM - Oficina Judicial,2020-01-01,,200,homicidio simple,NO,Homicidio doloso,2020-02-18
26,Chubut,266/5043,2/48713,4,Esquel,266,EQ - Oficina Judicial,2020-01-01,,384,portación de arma de fuego sin autorización,NO,Sin clasificar,2020-02-18
26,Chubut,267/8807,3/69692,3,Puerto Madryn,267,PM - Oficina Judicial,2020-01-02,,,,,Sin informar,2020-02-18
26,Chubut,267/8808,3/69661,3,Puerto Madryn,267,PM - Oficina Judicial,2020-01-02,,,,,Sin informar,2020-02-18
26,Chubut,265/11897,4/102385,5,Comodoro Rivadavia,265,CR - Oficina Judicial,2020-01-02,,459,resistencia a la autoridad / desobediencia,NO,Resistencia o desobediencia a un funcionario público,2020-02-18
26,Chubut,265/11898,4/102386,5,Comodoro Rivadavia,265,CR - Oficina Judicial,2020-01-02,,1,Investigación para la determinación del delito,NO,Sin informar,2020-02-18
26,Chubut,265/11899,4/102413,5,Comodoro Rivadavia,265,CR - Oficina Judicial,2020-01-02,,212,lesiones leves (dolosas),NO,Lesiones dolosas,2020-02-18
26,Chubut,265/11899,4/102413,5,Comodoro Rivadavia,265,CR - Oficina Judicial,2020-01-02,,215,lesiones calificadas (agravantes),NO,Lesiones dolosas,2020-02-18
26,Chubut,269/8749,1/85892,2,Trelew,269,TW - Oficina Judicial,2020-01-02,,,,,Sin informar,2020-02-18
26,Chubut,269/8750,1/88663,2,Trelew,269,TW - Oficina Judicial,2020-01-02,,297,violación de domicilio,NO,Violación de domicilio,2020-02-18
26,Chubut,269/8751,1/88655,2,Trelew,269,TW - Oficina Judicial,2020-01-02,,369,daño simple / sabotaje informático,NO,Daños,2020-02-18
26,Chubut,267/8809,3/69882,3,Puerto Madryn,267,PM - Oficina Judicial,2020-01-03,,314,robo simple,SI,Robo,2020-02-18
26,Chubut,267/8810,3/69888,3,Puerto Madryn,267,PM - Oficina Judicial,2020-01-03,,212,lesiones leves (dolosas),NO,Lesiones dolosas,2020-02-18
